"LatestDataTable" "ResourceID" "Subject" "Title" "Description" "Notes" "Caveats" "Source" "SourceURL" "Frequency" "Var1" "Var2" "Var3" "Var4" "Var5" "Var6"
"1" "" "CPACT6" "Activity" "Fuel supply volumes" "Z Energy monthly fuel supply volumes" NA NA "Z Energy" "https://www.nzx.com/companies/ZEL/announcements" "Monthly" "Fuel type" NA NA NA NA NA
"ResourceID" "Geo" "GeoUnit" "Duration" "Period" "Label1" "Label2" "Label3" "Label4" "Label5" "Label6" "Value" "Unit" "Measure" "NullReason" "Multiplier" "Status"
"88" "CPCON1" NA NA "P7D" 2016-11-05 NA NA NA NA NA NA -0.38592349276042 "Index" "Economic sentiment" NA "0" NA
"89" "CPCON1" NA NA "P7D" 2016-11-12 NA NA NA NA NA NA -0.314882730438664 "Index" "Economic sentiment" NA "0" NA
"90" "CPCON1" NA NA "P7D" 2016-11-19 NA NA NA NA NA NA -0.241866343923977 "Index" "Economic sentiment" NA "0" NA
"91" "CPCON1" NA NA "P7D" 2016-11-26 NA NA NA NA NA NA 0.0941798376668009 "Index" "Economic sentiment" NA "0" NA
"92" "CPCON1" NA NA "P7D" 2016-12-03 NA NA NA NA NA NA -0.372567798324019 "Index" "Economic sentiment" NA "0" NA
"93" "CPCON1" NA NA "P7D" 2016-12-10 NA NA NA NA NA NA -0.129836689526663 "Index" "Economic sentiment" NA "0" NA
"94" "CPCON1" NA NA "P7D" 2016-12-17 NA NA NA NA NA NA 0.0386888877340596 "Index" "Economic sentiment" NA "0" NA
"95" "CPCON1" NA NA "P7D" 2016-12-24 NA NA NA NA NA NA -0.121971306432553 "Index" "Economic sentiment" NA "0" NA
"96" "CPCON1" NA NA "P7D" 2016-12-31 NA NA NA NA NA NA -0.183787475249708 "Index" "Economic sentiment" NA "0" NA
"97" "CPCON1" NA NA "P7D" 2017-01-07 NA NA NA NA NA NA -0.188053324649083 "Index" "Economic sentiment" NA "0" NA
"98" "CPCON1" NA NA "P7D" 2017-01-14 NA NA NA NA NA NA 0.335904325128371 "Index" "Economic sentiment" NA "0" NA
"99" "CPCON1" NA NA "P7D" 2017-01-21 NA NA NA NA NA NA -0.0882831364638649 "Index" "Economic sentiment" NA "0" NA
"100" "CPCON1" NA NA "P7D" 2017-01-28 NA NA NA NA NA NA -0.124052908150805 "Index" "Economic sentiment" NA "0" NA
"101" "CPCON1" NA NA "P7D" 2017-02-04 NA NA NA NA NA NA -0.309392452346263 "Index" "Economic sentiment" NA "0" NA
"102" "CPCON1" NA NA "P7D" 2017-02-11 NA NA NA NA NA NA -0.109875255783216 "Index" "Economic sentiment" NA "0" NA
"103" "CPCON1" NA NA "P7D" 2017-02-18 NA NA NA NA NA NA -0.330036962550187 "Index" "Economic sentiment" NA "0" NA
"104" "CPCON1" NA NA "P7D" 2017-02-25 NA NA NA NA NA NA -0.265949785831343 "Index" "Economic sentiment" NA "0" NA
"105" "CPCON1" NA NA "P7D" 2017-03-04 NA NA NA NA NA NA 0.0781658690407807 "Index" "Economic sentiment" NA "0" NA
"106" "CPCON1" NA NA "P7D" 2017-03-11 NA NA NA NA NA NA 0.0947495647877613 "Index" "Economic sentiment" NA "0" NA
"107" "CPCON1" NA NA "P7D" 2017-03-18 NA NA NA NA NA NA 0.08239514055256 "Index" "Economic sentiment" NA "0" NA
"108" "CPCON1" NA NA "P7D" 2017-03-25 NA NA NA NA NA NA 0.45782604090621 "Index" "Economic sentiment" NA "0" NA
"109" "CPCON1" NA NA "P7D" 2017-04-01 NA NA NA NA NA NA 0.00824030800192281 "Index" "Economic sentiment" NA "0" NA
"110" "CPCON1" NA NA "P7D" 2017-04-08 NA NA NA NA NA NA -0.457803358112018 "Index" "Economic sentiment" NA "0" NA
"111" "CPCON1" NA NA "P7D" 2017-04-15 NA NA NA NA NA NA -0.284952807529922 "Index" "Economic sentiment" NA "0" NA
